iter	Passed	Remaining
0	155	155261
1	157	78745
2	159	52914
3	160	39911
4	161	32112
5	162	26908
6	163	23164
7	165	20518
8	167	18493
9	169	16793
10	171	15396
11	172	14191
12	173	13163
13	174	12280
14	175	11509
15	176	10832
16	177	10260
17	179	9786
18	182	9399
19	184	9029
20	185	8661
21	186	8305
22	187	7977
23	188	7674
24	189	7394
25	190	7134
26	191	6893
27	193	6701
28	195	6546
29	197	6383
30	199	6236
31	200	6073
32	201	5914
33	202	5762
34	203	5622
35	205	5489
36	205	5361
37	208	5287
38	211	5213
39	213	5124
40	217	5078
41	218	4974
42	218	4873
43	219	4777
44	220	4684
45	221	4594
46	223	4523
47	231	4594
48	233	4540
49	235	4472
50	236	4402
51	238	4345
52	243	4349
53	245	4293
54	247	4250
55	248	4193
56	251	4164
57	258	4206
58	260	4153
59	261	4101
60	264	4068
61	265	4015
62	266	3962
63	267	3908
64	268	3864
65	270	3834
66	273	3812
67	275	3776
68	276	3730
69	277	3687
70	278	3644
71	279	3601
72	280	3559
73	281	3518
74	281	3477
75	284	3454
76	286	3437
77	288	3404
78	288	3368
79	289	3332
80	290	3297
81	291	3263
82	291	3225
83	292	3192
84	293	3160
85	294	3128
86	295	3098
87	296	3067
88	297	3044
89	299	3025
90	301	3011
91	302	2989
92	303	2962
93	304	2936
94	305	2910
95	306	2884
96	307	2859
97	307	2834
98	308	2810
99	309	2786
100	310	2763
101	311	2744
102	313	2731
103	315	2716
104	316	2700
105	317	2680
106	318	2660
107	319	2640
108	320	2620
109	321	2600
110	322	2580
111	323	2561
112	323	2541
113	324	2523
114	325	2505
115	326	2491
116	328	2480
117	330	2471
118	331	2455
119	332	2439
120	333	2423
121	334	2406
122	335	2390
123	336	2374
124	337	2359
125	337	2343
126	338	2327
127	339	2312
128	340	2301
129	343	2296
130	345	2292
131	346	2279
132	347	2266
133	348	2253
134	349	2240
135	350	2226
136	351	2213
137	352	2200
138	353	2187
139	353	2174
140	354	2161
141	355	2150
142	359	2153
143	360	2142
144	361	2130
145	362	2118
146	363	2106
147	363	2094
148	364	2083
149	365	2071
150	366	2060
151	367	2049
152	368	2038
153	369	2027
154	370	2019
155	373	2018
156	374	2011
157	376	2007
158	377	1998
159	378	1989
160	379	1978
161	380	1969
162	381	1960
163	382	1952
164	384	1943
